"","date","group","amount","salary_change"
"1",2009-09-30,"Consultant",7267.16,0
"2",2009-10-31,"Consultant",7262.64,-0.0621976122721879
"3",2009-11-30,"Consultant",7264.02,-0.0432080757820031
"4",2009-12-31,"Consultant",7256.37,-0.148476158499331
"5",2010-01-31,"Consultant",7254.18,-0.178611727277225
"6",2010-02-28,"Consultant",7268.91,0.0240809339549425
"7",2010-03-31,"Consultant",7264.48,-0.0368782302852874
"8",2010-04-30,"Consultant",7276.17,0.123982408533736
"9",2010-05-31,"Consultant",7276.16,0.123844803196847
"10",2010-06-30,"Consultant",7279.42,0.168704143021486
"11",2010-07-31,"Consultant",7279.29,0.166915273641974
"12",2010-08-31,"Consultant",7273.42,0.0861409408902545
"13",2010-09-30,"Consultant",7274.81,0.105268082717328
"14",2010-10-31,"Consultant",7279.18,0.16540161493624
"15",2010-11-30,"Consultant",7271.48,0.0594455055344826
"16",2010-12-31,"Consultant",7271.82,0.0641240869885878
"17",2011-01-31,"Consultant",7269.01,0.0254569873238014
"18",2011-02-28,"Consultant",7274.5,0.101002317273875
"19",2011-03-31,"Consultant",7272.3,0.0707291431590928
"20",2011-04-30,"Consultant",7275.51,0.114900456299302
"21",2011-05-31,"Consultant",7281.42,0.196225210398563
"22",2011-06-30,"Consultant",7283.89,0.230213728609257
"23",2011-07-31,"Consultant",7281.47,0.196913237082993
"24",2011-08-31,"Consultant",7286.46,0.265578300188797
"25",2011-09-30,"Consultant",7285.57,0.253331425205993
"26",2011-10-31,"Consultant",7308.99,0.575603124191568
"27",2011-11-30,"Consultant",7277.36,0.140357443623091
"28",2011-12-31,"Consultant",7270.06,0.0399055476967694
"29",2012-01-31,"Consultant",7270.76,0.0495379212787439
"30",2012-02-29,"Consultant",7273.87,0.0923331810500943
"31",2012-03-31,"Consultant",7274.15,0.0961861304828816
"32",2012-04-30,"Consultant",7277.92,0.148063342488678
"33",2012-05-31,"Consultant",7290.54,0.321721277638033
"34",2012-06-30,"Consultant",7281.58,0.198426895788727
"35",2012-07-31,"Consultant",7290.03,0.314703405456876
"36",2012-08-31,"Consultant",7279.51,0.169942591053456
"37",2012-09-30,"Consultant",7283.63,0.226635989850234
"38",2012-10-31,"Consultant",7285.19,0.248102422404347
"39",2012-11-30,"Consultant",7284.82,0.243011024939589
"40",2012-12-31,"Consultant",7279.4,0.168428932347709
"41",2013-01-31,"Consultant",7280,0.176685252560837
"42",2013-02-28,"Consultant",7277.36,0.140357443623091
"43",2013-03-31,"Consultant",7278.13,0.150953054563272
"44",2013-04-30,"Consultant",7300.7,0.461528299913583
"45",2013-05-31,"Consultant",7457.17,2.61463900615922
"46",2013-06-30,"Consultant",7392.59,1.7259837405534
"47",2013-07-31,"Consultant",7388.23,1.66598781367136
"48",2013-08-31,"Consultant",7379.2,1.54173019446386
"49",2013-09-30,"Consultant",7376.92,1.510356177654
"50",2013-10-31,"Consultant",7391.29,1.70809504675829
"51",2013-11-30,"Consultant",7382.83,1.59168093175326
"52",2013-12-31,"Consultant",7388.59,1.67094160579924
"53",2014-01-31,"Consultant",7383.8,1.60502864943114
"54",2014-02-28,"Consultant",7380.64,1.56154536297536
"55",2014-03-31,"Consultant",7373.93,1.46921218192527
"56",2014-04-30,"Consultant",7395.86,1.77098068571491
"57",2014-05-31,"Consultant",7402.42,1.86124978671173
"58",2014-06-30,"Consultant",7411.65,1.98825951265694
"59",2014-07-31,"Consultant",7411.97,1.99266288343728
"60",2014-08-31,"Consultant",7400.4,1.83345350866088
"61",2014-09-30,"Consultant",7404.42,1.88877085408881
"62",2014-10-31,"Consultant",7403.49,1.87597355775846
"63",2014-11-30,"Consultant",7402.92,1.868130053556
"64",2014-12-31,"Consultant",7403.68,1.87858805915929
"65",2015-01-31,"Consultant",7396.36,1.77786095255918
"66",2015-02-28,"Consultant",7401.91,1.85423191453057
"67",2015-03-31,"Consultant",7402.12,1.85712162660517
"68",2015-04-30,"Consultant",7410.75,1.97587503233726
"69",2015-05-31,"Consultant",7411.54,1.9867458539512
"70",2015-06-30,"Consultant",7411.74,1.98949796068891
"71",2015-07-31,"Consultant",7415.13,2.03614616989306
"72",2015-08-31,"Consultant",7409.38,1.95702310118396
"73",2015-09-30,"Consultant",7407.71,1.9340430099241
"74",2015-10-31,"Consultant",7416.12,2.04976909824471
"75",2015-11-30,"Consultant",7416.21,2.05100754627668
"76",2015-12-31,"Consultant",7420.68,2.11251713186445
"77",2016-01-31,"Consultant",7411.64,1.98812190732006
"78",2016-02-29,"Consultant",7417.11,2.06339202659636
"79",2016-03-31,"Consultant",7414.7,2.03022914040698
"80",2016-04-30,"Consultant",7415.05,2.03504532719797
"81",2016-05-31,"Consultant",7571.74,4.19118335085508
"82",2016-06-30,"Consultant",7505.5,3.27968559932629
"83",2016-07-31,"Consultant",7495.11,3.13671365430237
"84",2016-08-31,"Consultant",7491.89,3.09240473582528
"85",2016-09-30,"Consultant",7488.25,3.042316393199
"86",2016-10-31,"Consultant",7496.12,3.15061179332779
"87",2016-11-30,"Consultant",7492.92,3.10657808552447
"88",2016-12-31,"Consultant",7488.02,3.03915147045064
"89",2017-01-31,"Consultant",7487.2,3.02786783282603
"90",2017-02-28,"Consultant",7497.72,3.17262864722946
"91",2017-03-31,"Consultant",7495.59,3.14331871047287
"92",2017-04-30,"Consultant",7487.56,3.03282162495391
"93",2017-05-31,"Consultant",7646.59,5.2211592974422
"94",2017-06-30,"Consultant",7570.26,4.17081776099605
"95",2017-07-31,"Consultant",7569.24,4.15678201663373
